,Unnamed: 0,ID,Industry,Name
184,184,1762,生技醫療業,中化生
185,185,1773,化學工業,勝一
186,186,1776,化學工業,展宇
187,187,1783,生技醫療業,和康生
188,188,1786,生技醫療業,科妍
189,189,1789,生技醫療業,神隆
190,190,1795,生技醫療業,美時
191,191,1802,玻璃陶瓷,台玻
192,192,1805,建材營造業,寶徠
193,193,1806,玻璃陶瓷,冠軍
194,194,1808,建材營造業,潤隆
195,195,1809,玻璃陶瓷,中釉
196,196,1810,玻璃陶瓷,和成
197,197,1817,玻璃陶瓷,凱撒衛
198,198,1903,造紙工業,士紙
199,199,1904,造紙工業,正隆
200,200,1905,造紙工業,華紙
201,201,1906,造紙工業,寶隆
202,202,1907,造紙工業,永豐餘
203,203,1909,造紙工業,榮成
204,204,2002,鋼鐵工業,中鋼
205,205,2006,鋼鐵工業,東和鋼鐵
206,206,2007,鋼鐵工業,燁興
207,207,2008,鋼鐵工業,高興昌
208,208,2009,鋼鐵工業,第一銅
209,209,2010,鋼鐵工業,春源
210,210,2012,鋼鐵工業,春雨
211,211,2013,鋼鐵工業,中鋼構
212,212,2014,鋼鐵工業,中鴻
213,213,2015,鋼鐵工業,豐興
214,214,2017,鋼鐵工業,官田鋼
215,215,2020,鋼鐵工業,美亞
216,216,2022,鋼鐵工業,聚亨
217,217,2023,鋼鐵工業,燁輝
218,218,2024,鋼鐵工業,志聯
219,219,2025,鋼鐵工業,千興
220,220,2027,鋼鐵工業,大成鋼
221,221,2028,鋼鐵工業,威致
222,222,2029,鋼鐵工業,盛餘
223,223,2030,鋼鐵工業,彰源
224,224,2031,鋼鐵工業,新光鋼
225,225,2032,鋼鐵工業,新鋼
226,226,2033,鋼鐵工業,佳大
227,227,2034,鋼鐵工業,允強
228,228,2038,鋼鐵工業,海光
229,229,2049,電機機械,上銀
230,230,2059,電子零組件業,川湖
231,231,2062,其他業,橋椿
232,232,2069,鋼鐵工業,運錩
233,233,2101,橡膠工業,南港
234,234,2102,橡膠工業,泰豐
235,235,2103,橡膠工業,台橡
236,236,2104,橡膠工業,國際中橡
237,237,2105,橡膠工業,正新
238,238,2106,橡膠工業,建大
239,239,2107,橡膠工業,厚生
